"","Date","NDVI_Max","NDVI_Min","NDVI_Median","NDVI_mean","NDVI_SD"
"S2021.05.10.1",2021-05-10,0.882893781756593,0.16134040626213,0.589714924538848,0.603651758988148,0.106124352400268
"S2021.05.10.2",2021-05-10,0.883579917535775,0.163772998186059,0.590180360721443,0.604243720120346,0.106270251143922
"L2021.05.17",2021-05-17,13.9411764705882,-24.5862068965517,0.568271954674221,0.569169497705809,0.322553601029884
"S2021.05.20",2021-05-20,0.969439728353141,0.0140913508260447,0.556350626118068,0.569911065857807,0.113449824178209
"S2021.05.30.1",2021-05-30,0.873614190687361,0.0806945863125638,0.526297696803025,0.546340930750241,0.118527197616543
"S2021.05.30.2",2021-05-30,0.874583055370247,0.0817120622568093,0.52686052242484,0.546907799500171,0.118667871317236
